TEDIS PHARMA CI;;;STATISTIQUES LABORATOIRE ECLATEES PAR CLIENT
Votre partenaire Santé;;;INOX PHARMA - CROIENT PHARMA

CIP;Désignation du produit;Client;Mai-26;Avr.-26;Mar.-26;Fév.-26;Jan.-26;Déc.-25
3000000381571;AZIENT 500MG CPR PELL B/3;DU ROND POINT ODIENNE;0;3;1;0;0;5
3000000381571;AZIENT 500MG CPR PELL B/3;DU STADE ODIENNE;3;0;0;2;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;EBEN-EZER SARL;0;2;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;ELIORA DE SONGON KASSEMBLE;0;0;0;0;0;1
3000000381571;AZIENT 500MG CPR PELL B/3;ELKANAH;0;0;0;2;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;EPIPHANIE;2;1;3;1;2;1
3000000381571;AZIENT 500MG CPR PELL B/3;ESPOIR-GESCO;2;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;EUREKA;2;1;2;0;0;1
3000000381571;AZIENT 500MG CPR PELL B/3;FATIMA -BOUAKE;0;50;0;1;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;FEZAN;0;0;0;2;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;FOTAMANA;0;0;0;1;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;GARAHIO;0;2;0;5;1;1
3000000381571;AZIENT 500MG CPR PELL B/3;GD MARCHE -BONOUA;0;0;0;1;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;GDE DU PROGRES;0;0;0;0;0;1
3000000381571;AZIENT 500MG CPR PELL B/3;GDE MOSQUEE - MAN;0;0;0;1;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;GDE PHCIE BELLE FONTAINE;2;0;0;0;12;5
3000000381571;AZIENT 500MG CPR PELL B/3;GDE PHCIE DES GARAGES;0;0;0;0;0;1
3000000381571;AZIENT 500MG CPR PELL B/3;GDE PHCIE SAINT MOISE;0;0;0;1;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;GRACE DE DIEU DE SEGUELA;10;0;15;6;14;9
3000000381571;AZIENT 500MG CPR PELL B/3;GRANDE PHARMACIE D'AKOUPE;2;0;0;0;0;1
3000000381571;AZIENT 500MG CPR PELL B/3;GRANDE PHARMACIE DE GREMIAN;0;0;0;2;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;GRANDE PHARMACIE DU SUD-OUEST;0;0;0;0;7;0
3000000381571;AZIENT 500MG CPR PELL B/3;GRANDE PHARMACIE NORD-SUD;2;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;GRANDE PHARMACIE ROUTE DE DABOU;0;2;0;0;3;3
3000000381571;AZIENT 500MG CPR PELL B/3;GRANDE PHARMACIE SAINT AMBROISE DE PORT-BOUET;0;0;0;2;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;GRANDE PHCIE DE BELLEVILLE -BKE NEW;1;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;GRANDE PHCIE DU DENGUELE;1;2;1;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;HO'FREDO;5;0;0;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;INOX SARL U;0;0;7;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;KAHIRA;0;0;2;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;KAKOUMANI;0;0;4;2;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;KENEYA DE LAKOTA;0;0;1;0;1;5
3000000381571;AZIENT 500MG CPR PELL B/3;KHIANELLY;5;4;3;2;7;0
3000000381571;AZIENT 500MG CPR PELL B/3;KOKO SARL;0;1;3;0;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;KORO;0;2;2;3;0;0
3000000381571;AZIENT 500MG CPR PELL B/3;LA GRANDE PHCIE DE DABOU;2;2;0;2;3;5
